GISJOIN,YEAR,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,CDA,SLDU18A,SLDL18A,VTDA,VTDI,SDELMA,SDSECA,SDUNIA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,pop_total,U7B002,U7B003,U7B004,U7B005,U7B006,U7B007,U7B008,U7B009,U7B010,U7B011,U7B012,U7B013,U7B014,U7B015,U7B016,U7B017,U7B018,U7B019,U7B020,U7B021,U7B022,U7B023,U7B024,U7B025,U7B026,U7B027,U7B028,U7B029,U7B030,U7B031,U7B032,U7B033,U7B034,U7B035,U7B036,U7B037,U7B038,U7B039,U7B040,U7B041,U7B042,U7B043,U7B044,U7B045,U7B046,U7B047,U7B048,U7B049,U7B050,U7B051,U7B052,U7B053,U7B054,U7B055,U7B056,U7B057,U7B058,U7B059,U7B060,U7B061,U7B062,U7B063,U7B064,U7B065,U7B066,U7B067,U7B068,U7B069,U7B070,U7B071
G130,2020,0400000US13,13,3,5,Georgia,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49486E+11,4418749570,Georgia,Georgia,A,32.6295789,-83.4235109,0,10711908,9968000,5555483,3320513,50618,479028,7299,555059,743908,698142,115782,106685,55138,3094,333782,19655,11481,1812,36334,1007,147,7360,1680,3398,787,40179,13019,4196,462,7178,1892,242,6817,1473,1931,185,490,101,1017,397,504,110,40,42,6,77,4971,1173,159,2453,154,352,40,176,191,30,71,61,40,13,56,2,551,193,270,22,11,22,33,65,65
G150,2020,0400000US15,15,4,9,Hawaii,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16634147166,11777652106,Hawaii,Hawaii,A,19.8281671,-155.4950421,0,1455271,1087142,333261,23417,4370,541902,157445,26747,368129,231504,5615,11279,71907,34670,20218,800,2779,1736,929,1010,930,439,75347,2842,1003,118847,1511,1433,911,576,4244,2019,1147,99170,2728,1076,218,99,67,1245,83,32,1177,53,16,1042,15969,666,302,340,2156,116,62,8521,310,83,3112,216,24,3,44,14,1733,998,138,25,139,406,27,76,76
G160,2020,0400000US16,16,4,8,Idaho,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1405E+11,2391577745,Idaho,Idaho,A,44.3484222,-114.5588538,0,1839106,1685901,1510360,15726,25621,26836,3726,103632,153205,145443,7906,32995,15980,2696,81703,433,236,85,625,203,104,1365,591,384,137,6992,1022,330,85,575,693,162,2248,1156,494,109,14,6,29,8,16,3,18,3,5,16,649,100,27,180,48,27,6,109,46,10,45,22,13,0,7,9,82,38,18,12,6,5,3,39,39
G170,2020,0400000US17,17,2,3,Illinois,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43778E+11,6216594318,Illinois,Illinois,A,40.1028754,-89.1526108,0,12812508,11667524,7868227,1808271,96498,754878,4501,1135149,1144984,1087260,111307,107871,90923,3101,697568,12187,6283,716,23028,1470,168,23158,2673,5233,1574,51574,11661,2761,286,8170,2026,187,18641,1694,3603,255,391,103,904,227,286,76,27,113,43,120,5396,963,122,3171,117,294,16,136,296,12,130,33,34,14,42,16,670,301,301,35,14,4,15,84,84
G180,2020,0400000US18,18,2,3,Indiana,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92788998225,1541613641,Indiana,Indiana,A,39.9013136,-86.2919129,0,6785528,6348802,5241795,648513,26086,167959,3137,261312,436726,414856,81420,90589,31442,2300,184637,4870,2177,381,8306,342,58,2919,3589,1443,383,19796,7003,1615,225,3161,968,177,4218,871,851,117,66,19,227,76,75,41,9,18,5,54,1784,430,91,835,59,67,17,80,77,20,40,27,12,1,15,13,262,149,80,16,7,2,8,28,28
G190,2020,0400000US19,19,2,4,Iowa,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4466E+11,1085996889,Iowa,Iowa,A,42.0700243,-93.4933473,0,3190369,3011086,2694521,131972,14486,75629,5758,88720,179283,170730,31415,33145,15391,1121,81757,1430,757,94,1860,180,40,1039,1816,577,108,7817,2828,596,135,1007,416,42,1561,529,350,62,52,13,76,68,45,12,11,5,4,5,609,140,42,237,24,34,16,36,41,4,19,3,0,0,7,6,111,60,29,3,6,2,11,16,16
G200,2020,0400000US20,20,2,4,Kansas,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11754E+11,1345707497,Kansas,Kansas,A,38.4985464,-98.3834298,0,2937880,2657373,2222462,168809,30995,86273,3412,145422,280507,265719,36935,63803,18823,1600,132329,3934,1261,269,2927,246,71,1918,795,633,175,13554,4878,979,163,1690,934,129,2994,714,570,66,90,36,163,49,34,14,12,16,0,23,1100,316,47,415,53,49,10,87,53,7,31,10,5,6,1,10,103,52,34,6,4,2,5,31,31
G210,2020,0400000US21,21,3,6,Kentucky,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02283E+11,2368025703,Kentucky,Kentucky,A,37.5336844,-85.2929801,0,4505836,4260996,3711254,362417,12801,74426,3681,96417,244840,232500,55381,66051,17238,1449,78941,2750,1258,335,5572,185,51,1140,1366,600,183,11103,4202,1014,165,1561,723,117,1892,544,450,70,74,23,115,71,27,6,9,12,6,22,1068,274,49,421,66,68,8,66,55,0,21,12,18,5,5,0,143,57,50,10,14,7,5,26,26
G220,2020,0400000US22,22,3,7,Louisiana,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11914E+11,23737664982,Louisiana,Louisiana,A,30.8634368,-91.7987173,0,4657757,4384380,2657652,1464023,31657,86438,1911,142699,273377,255214,43631,50194,17001,1278,116354,7332,2323,419,13305,280,69,1601,504,660,263,15833,4955,985,121,2995,840,117,3407,500,819,133,137,40,374,170,128,46,21,13,7,25,2083,339,46,1250,64,67,30,58,82,8,27,38,21,1,47,5,214,82,95,3,11,15,8,33,33
G230,2020,0400000US23,23,1,1,Maine,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79888428972,11744937116,Maine,Maine,A,45.4092843,-68.666616,0,1362359,1297649,1237041,25752,7885,16798,443,9730,64710,61608,7612,23177,7074,430,21646,272,163,41,651,86,16,141,153,123,23,2808,846,194,21,444,221,59,483,250,173,20,17,11,24,5,17,2,7,4,2,8,231,26,13,94,17,13,2,21,22,3,5,7,4,0,3,1,63,34,7,2,3,10,7,0,0
G240,2020,0400000US24,24,3,5,Maryland,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25151895765,6979171386,Maryland,Maryland,A,38.9466584,-76.6744939,0,6177224,5695323,3007874,1820472,31845,420944,3247,410941,481901,444556,78371,48367,55237,1985,194761,15874,9381,1117,25559,810,112,8218,1403,2746,615,32617,11071,3651,330,5388,1356,111,5477,1158,1944,138,418,96,592,210,444,82,26,67,20,38,4231,1067,109,2187,111,316,35,92,173,29,32,19,33,5,19,4,439,181,200,23,25,1,9,58,58
G250,2020,0400000US25,25,1,1,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20204396898,7130653806,Massachusetts,Massachusetts,A,42.1565196,-71.4895915,0,7029917,6421050,4896037,494029,24018,507934,2301,496731,608867,571923,56449,41151,58164,1794,310903,6011,3375,648,80988,633,109,5177,994,3405,2122,32278,6372,1794,160,13544,908,99,4085,1030,1849,204,185,22,1155,106,473,147,20,36,22,67,4310,443,49,3004,67,348,63,37,103,16,93,10,25,0,48,4,326,136,152,23,10,5,0,30,30
G260,2020,0400000US26,26,2,3,Michigan,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46615E+11,1.03872E+11,Michigan,Michigan,A,44.8441768,-85.6604907,0,10077331,9442016,7444974,1376579,61261,334300,3051,221851,635315,599811,115790,145036,60656,2906,240916,12023,3871,566,11229,735,102,2792,1108,1732,349,32500,13348,2305,308,4441,1797,244,5728,1403,1680,148,279,45,383,128,131,32,32,26,2,40,2609,699,131,1102,84,133,33,111,120,8,87,35,31,7,24,4,338,156,128,18,18,10,8,57,57
G270,2020,0400000US27,27,2,4,Minnesota,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06232E+11,18949864226,Minnesota,Minnesota,A,46.3159573,-94.1996043,0,5706494,5360773,4423146,398434,68641,299190,2918,168444,345721,324275,57953,65819,45265,1882,133575,5029,2674,313,4770,790,104,2660,1477,1609,355,19416,7897,1842,232,2123,1247,144,3123,1153,877,95,126,57,187,65,91,20,38,34,7,58,1755,441,71,763,70,158,9,103,65,1,24,21,18,5,6,0,244,91,116,13,15,4,5,31,31
G280,2020,0400000US28,28,3,6,Mississippi,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21532E+11,3915791676,Mississippi,Mississippi,A,32.6864714,-89.6561377,0,2961279,2850547,1658893,1084481,16450,32709,1154,56860,110732,103917,25992,27934,8293,603,31331,3877,1149,273,3095,128,28,571,251,284,108,5995,2320,496,63,735,411,58,991,221,246,30,75,21,134,92,60,4,7,8,2,21,676,172,54,253,21,28,4,44,14,5,9,11,16,7,36,2,119,47,38,17,8,0,9,25,25
G290,2020,0400000US29,29,2,4,Missouri,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78053E+11,2487215790,Missouri,Missouri,A,38.35075,-92.4567826,0,6154913,5741742,4740335,699840,30518,133377,9730,127942,413171,390923,68493,128301,34538,3424,135671,7134,2313,542,6030,352,98,1682,1180,937,228,20344,7562,1634,313,2472,1618,280,3723,1129,764,165,154,46,236,101,54,16,23,15,1,38,1598,434,95,663,75,64,19,99,65,7,33,16,9,5,6,8,281,135,113,6,15,9,3,25,25
G300,2020,0400000US30,30,4,8,Montana,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76974E+11,3866689601,Montana,Montana,A,47.051177,-109.6348174,0,1084225,1012950,916524,5484,67612,8300,941,14089,71275,67557,4608,29080,6430,916,24502,623,140,30,211,202,96,322,274,101,22,3410,959,161,41,214,472,112,773,434,121,37,1,6,5,7,4,13,27,11,1,11,256,39,14,83,14,4,4,34,27,5,3,6,5,6,7,5,40,13,17,3,0,4,3,12,12
G310,2020,0400000US31,31,2,4,Nebraska,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98957E+11,1371117957,Nebraska,Nebraska,A,41.5433053,-99.8118646,0,1961504,1817341,1538052,96535,23102,52951,1534,105167,144163,136456,19503,23079,12180,826,73788,1882,577,126,1607,167,42,1695,479,407,98,6979,2328,523,81,795,393,52,1745,462,304,43,49,5,98,41,6,15,5,8,9,17,624,124,25,241,56,33,7,24,70,11,13,2,3,1,10,4,84,34,23,6,8,4,9,20,20
G320,2020,0400000US32,32,4,8,Nevada,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84537E+11,1839662252,Nevada,Nevada,A,39.3310928,-116.6151469,0,3104614,2670605,1588463,304739,43932,272703,25011,435757,434009,400557,34520,36364,45769,6098,239236,4265,5716,1613,9242,738,262,4814,8079,3049,792,29850,4309,2794,575,3260,1735,366,5503,6574,2393,361,260,86,328,535,256,80,106,73,16,240,3159,540,136,792,393,197,45,472,179,38,262,41,29,11,24,0,400,184,127,7,48,31,3,43,43
G330,2020,0400000US33,33,1,1,New Hampshire,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23190113978,1025973001,New Hampshire,New Hampshire,A,43.6726907,-71.5843145,0,1377529,1299787,1216203,20127,3031,35871,453,24102,77742,73876,8076,19548,9151,540,33530,322,180,64,1685,67,7,223,194,203,86,3465,992,334,29,735,260,28,559,191,178,36,1,24,39,17,16,4,2,11,3,6,338,43,3,200,11,20,1,15,18,2,9,3,1,2,9,1,59,26,11,14,0,3,5,4,4
G340,2020,0400000US34,34,1,2,New Jersey,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19048737655,3533261945,New Jersey,New Jersey,A,40.1072744,-74.6652012,0,9288994,8385500,5112280,1219770,51186,950090,3533,1048641,903494,852673,70790,40811,65045,1740,559309,12399,7604,1168,65449,1842,143,14030,2097,7251,2995,43150,10254,2929,217,13263,1016,100,7374,967,3645,265,374,51,1323,139,734,113,30,158,56,142,7058,850,149,4730,79,633,62,46,244,26,112,18,39,13,38,19,546,157,310,22,17,29,11,67,67
G350,2020,0400000US35,35,4,8,New Mexico,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14199E+11,726482115,New Mexico,New Mexico,A,34.4346843,-106.1316181,0,2117522,1695276,1078937,45904,212241,37469,2093,318632,422246,405338,10509,30305,11482,1097,337315,2488,645,130,3049,643,214,5425,668,1063,305,15498,1949,443,55,1807,737,131,7896,555,1226,171,58,21,171,35,54,13,31,60,35,50,1230,171,27,546,43,71,20,102,124,16,61,19,6,7,1,16,152,32,84,16,4,13,3,28,28
G360,2020,0400000US36,36,1,2,New York,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2205E+11,19256750161,New York,New York,A,42.9133974,-75.5962723,0,20201249,18433786,11143349,2986172,149690,1933127,10815,2210633,1767463,1649229,175686,113950,148927,3890,840481,31562,21450,3274,226733,5958,564,33617,6314,28694,8129,99616,24378,6334,504,31594,2154,258,15296,2222,6526,459,1059,171,3838,426,2558,476,145,548,156,514,16806,2049,232,11366,252,1429,92,135,430,37,240,92,210,29,120,93,1623,555,873,99,26,25,45,189,189
G370,2020,0400000US37,37,3,5,North Carolina,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25933E+11,13456395178,North Carolina,North Carolina,A,35.53971,-79.1308636,0,10439388,9727667,6488459,2140217,130032,343051,8518,617390,711721,664545,114798,124955,57170,3574,294386,23110,6862,1462,24413,983,249,7175,1842,2749,817,41836,16307,3410,458,6524,2035,261,6802,1742,1731,204,454,138,936,298,244,92,64,34,15,87,4728,1102,153,2406,160,285,32,178,193,23,81,31,20,8,31,25,540,280,198,25,22,10,5,72,72
G380,2020,0400000US38,38,2,4,North Dakota,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78698E+11,4410633765,North Dakota,North Dakota,A,47.442174,-100.4608258,0,779094,737154,645938,26783,38914,13213,924,11382,41940,39726,5120,14414,4048,415,13753,600,251,39,394,98,50,225,183,70,66,1968,645,155,34,212,173,36,347,166,76,11,9,7,29,21,7,1,11,11,0,17,192,35,8,62,11,2,3,22,22,0,0,3,10,1,6,7,49,14,10,6,16,3,0,5,5
G390,2020,0400000US39,39,2,3,Ohio,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05824E+11,10274656132,Ohio,Ohio,A,40.4149297,-82.7119975,0,11799448,11118076,9080688,1478781,30720,298509,5034,224344,681372,638388,157685,157622,59329,3367,217778,12938,4679,811,17084,637,99,2590,1312,1861,596,38520,17738,3162,488,5720,1974,243,4779,1669,1190,162,310,88,548,178,126,31,36,33,15,30,3942,1049,231,1893,150,180,12,122,138,13,52,30,29,18,14,11,461,219,153,29,37,3,20,61,61
G400,2020,0400000US40,40,3,7,Oklahoma,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77664E+11,3373689316,Oklahoma,Oklahoma,A,35.5900815,-97.4867789,0,3959353,3451195,2514885,289961,332791,90949,8608,214001,508158,476591,46341,251170,21338,2100,124450,19104,1726,420,3753,974,357,3132,824,665,237,29533,15616,1200,227,1956,2926,426,4845,921,541,75,202,58,295,61,41,13,77,21,7,25,1846,460,105,778,74,72,5,181,82,13,32,13,10,5,15,1,167,107,42,5,6,1,6,21,21
G410,2020,0400000US41,41,4,9,Oregon,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48628E+11,6170953359,Oregon,Oregon,A,43.9717125,-120.6229578,0,4237256,3793917,3169096,82655,62993,194538,19204,265431,443339,412968,32537,96929,59341,7738,198328,2285,1647,519,2794,805,332,3987,3737,1543,446,27366,5185,1771,382,2242,2840,643,6714,4854,1724,271,141,63,159,101,66,20,75,37,3,75,2568,446,98,842,161,115,19,453,229,22,141,17,11,10,4,0,385,191,116,13,30,35,0,52,52
